symbol,time,open,high,low,close,volume
ETH-EUR,2024-01-18T01:31:00,2316.05,2316.05,2313.04,2313.45,9.52529426
ETH-EUR,2024-01-18T01:30:00,2316.27,2316.27,2315.57,2316.1,0.19029123
ETH-EUR,2024-01-18T01:29:00,2315.66,2317.44,2315.66,2317.44,0.08211189
ETH-EUR,2024-01-18T01:28:00,2318.25,2318.25,2316.09,2316.09,1.24052473
ETH-EUR,2024-01-18T01:26:00,2318.63,2319.13,2317.44,2317.44,0.07838142
ETH-EUR,2024-01-18T01:25:00,2317.4,2317.4,2316.99,2316.99,0.00612605
ETH-EUR,2024-01-18T01:24:00,2317.66,2318.15,2317.66,2318.15,0.6106381
ETH-EUR,2024-01-18T01:23:00,2316.87,2317.38,2316.81,2316.81,1.18769393
ETH-EUR,2024-01-18T01:22:00,2315.3,2316.71,2315.3,2315.82,0.82786512
ETH-EUR,2024-01-18T01:21:00,2317.2,2317.2,2316.58,2316.58,1.47462094
ETH-EUR,2024-01-18T01:20:00,2316.2,2317.47,2316.2,2317.47,0.12572817
ETH-EUR,2024-01-18T01:19:00,2313.75,2315.58,2313.75,2315.4,0.58208326
ETH-EUR,2024-01-18T01:18:00,2312.7,2313.46,2311.15,2313.46,1.80357997
ETH-EUR,2024-01-18T01:17:00,2313.97,2313.97,2313.41,2313.41,0.00223594
ETH-EUR,2024-01-18T01:16:00,2314.82,2314.82,2313.15,2313.51,5.96084976
ETH-EUR,2024-01-18T01:15:00,2314.63,2315.79,2314.63,2315.3,1.34880827
ETH-EUR,2024-01-18T01:14:00,2313.79,2315.45,2313.78,2314.63,0.08093248
ETH-EUR,2024-01-18T01:13:00,2315.7,2315.7,2314.15,2314.15,6.34791503
ETH-EUR,2024-01-18T01:12:00,2315.54,2315.54,2315.39,2315.39,1.59440597
ETH-EUR,2024-01-18T01:11:00,2318.01,2318.2,2317.44,2317.44,2.04627425
ETH-EUR,2024-01-18T01:10:00,2319.44,2319.44,2318.62,2318.71,2.01804417
ETH-EUR,2024-01-18T01:09:00,2319.59,2319.59,2319.06,2319.44,3.63319021
ETH-EUR,2024-01-18T01:08:00,2320.03,2320.15,2319.62,2319.62,6.3721635
ETH-EUR,2024-01-18T01:07:00,2320.14,2320.27,2320.14,2320.14,0.15858984
ETH-EUR,2024-01-18T01:06:00,2322.92,2323.33,2320.68,2320.68,5.55635459
ETH-EUR,2024-01-18T01:05:00,2321.73,2323.41,2321.64,2323.41,0.51787884
ETH-EUR,2024-01-18T01:04:00,2323.1,2323.1,2321.27,2321.27,0.3539018
ETH-EUR,2024-01-18T01:03:00,2323.19,2323.34,2321.78,2323.34,3.12727489
ETH-EUR,2024-01-18T01:02:00,2323.37,2323.37,2322.8,2323.14,0.04602406
ETH-EUR,2024-01-18T01:01:00,2324.09,2324.09,2323.73,2323.91,0.08417389
ETH-EUR,2024-01-18T01:00:00,2321.27,2322.25,2321.27,2321.8,4.83071998
ETH-EUR,2024-01-18T00:59:00,2320.15,2321.27,2320.15,2321.27,0.23070625
ETH-EUR,2024-01-18T00:58:00,2320.75,2320.77,2320.36,2320.36,1.66877561
ETH-EUR,2024-01-18T00:57:00,2320.44,2320.45,2320.44,2320.44,1.00619934
ETH-EUR,2024-01-18T00:56:00,2321.0,2321.56,2321.0,2321.56,0.00691359
ETH-EUR,2024-01-18T00:55:00,2320.96,2320.96,2320.28,2320.44,0.11650418
ETH-EUR,2024-01-18T00:54:00,2320.1,2320.61,2319.45,2320.61,0.4631526
ETH-EUR,2024-01-18T00:53:00,2319.62,2319.62,2319.33,2319.33,0.03354626
ETH-EUR,2024-01-18T00:52:00,2320.51,2320.81,2319.41,2319.41,0.54858346
ETH-EUR,2024-01-18T00:51:00,2322.2,2322.21,2320.53,2320.53,0.46826068
ETH-EUR,2024-01-18T00:50:00,2321.44,2322.5,2321.44,2321.97,0.22165955
ETH-EUR,2024-01-18T00:49:00,2321.04,2321.54,2320.65,2321.54,0.36803774
ETH-EUR,2024-01-18T00:48:00,2321.51,2321.7,2321.05,2321.05,0.08039878
ETH-EUR,2024-01-18T00:47:00,2323.1,2323.1,2321.72,2321.72,2.64917932
ETH-EUR,2024-01-18T00:46:00,2322.85,2323.32,2321.84,2321.84,5.00341364
ETH-EUR,2024-01-18T00:45:00,2322.13,2322.37,2322.13,2322.37,1.0234314
ETH-EUR,2024-01-18T00:44:00,2323.13,2323.13,2322.31,2322.31,0.53720656
ETH-EUR,2024-01-18T00:43:00,2323.15,2323.15,2322.84,2322.84,0.41409056
ETH-EUR,2024-01-18T00:42:00,2323.84,2323.84,2322.58,2323.17,1.00394119
ETH-EUR,2024-01-18T00:41:00,2322.59,2322.59,2322.59,2322.59,4.39591
ETH-EUR,2024-01-18T00:40:00,2323.33,2323.33,2322.18,2322.18,0.02716159
ETH-EUR,2024-01-18T00:39:00,2323.96,2323.96,2323.57,2323.57,0.01174227
ETH-EUR,2024-01-18T00:37:00,2322.51,2322.81,2322.19,2322.81,0.79489231
ETH-EUR,2024-01-18T00:36:00,2322.49,2323.57,2322.14,2323.19,2.10070531
